epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8526257872581482,0.9074735641479492,0.37520360946655273,0.46266502141952515,0.8907501101493835,0.6877306699752808
1,0.9136651158332825,0.9628708958625793,0.22519709169864655,0.3906765580177307,0.9524147510528564,1.697593331336975
2,0.9238383173942566,0.9712867140769958,0.19914859533309937,0.9377062916755676,0.9812946319580078,0.1767318844795227
3,0.9347676634788513,0.9763454794883728,0.17842277884483337,0.8797442317008972,0.9756143689155579,0.3135029673576355
4,0.9446659088134766,0.9816097021102905,0.15412142872810364,0.912953794002533,0.9857094883918762,0.21576295793056488
5,0.9479653835296631,0.9847823977470398,0.14065568149089813,0.9428630471229553,0.9862671494483948,0.15004071593284607
6,0.9489277005195618,0.9855551719665527,0.1386517435312271,0.9478135108947754,0.9863637685775757,0.1565452367067337
7,0.951196014881134,0.9872598648071289,0.12870357930660248,0.9249175190925598,0.982283353805542,0.20681989192962646
8,0.953326940536499,0.9876905083656311,0.1257322132587433,0.9393564462661743,0.9797924160957336,0.17491063475608826
9,0.9522958397865295,0.9879631996154785,0.1265563666820526,0.9535890817642212,0.9879246354103088,0.13824886083602905
10,0.9550453424453735,0.9886595606803894,0.12138773500919342,0.8941831588745117,0.9852226376533508,0.24210116267204285
11,0.9582760334014893,0.989880383014679,0.11474345624446869,0.9657590985298157,0.9915534257888794,0.10227794200181961
12,0.9604756832122803,0.98975670337677,0.11205250024795532,0.9540016651153564,0.9898138046264648,0.1205136626958847
13,0.9586197137832642,0.9892592430114746,0.11672567576169968,0.9568894505500793,0.9901907444000244,0.12010181695222855
14,0.9607506394386292,0.9903382062911987,0.1105227842926979,0.9676154851913452,0.9931332468986511,0.09795791655778885
15,0.9597195386886597,0.9904929399490356,0.10916335880756378,0.9395626783370972,0.9752522706985474,0.1980968564748764
16,0.9612317681312561,0.9909237027168274,0.10605744272470474,0.9348185062408447,0.9884220957756042,0.18378983438014984
17,0.9609568119049072,0.9907735586166382,0.10550190508365631,0.9323432445526123,0.9856724143028259,0.17997689545154572
18,0.9620566368103027,0.9917735457420349,0.10144635289907455,0.8754125237464905,0.9875686764717102,0.29500138759613037
19,0.9639125466346741,0.9914615750312805,0.09999045729637146,0.7547442317008972,0.9577628970146179,0.9200960397720337
20,0.9626752734184265,0.9915947914123535,0.10060399770736694,0.958539605140686,0.9904491305351257,0.12379007041454315
21,0.9636375904083252,0.9922587275505066,0.09797809273004532,0.9624587297439575,0.9926018714904785,0.10373517870903015
22,0.9628815054893494,0.9915820956230164,0.10053632408380508,0.9170792102813721,0.9855164885520935,0.22555458545684814
23,0.9654935598373413,0.9923094511032104,0.09659487009048462,0.9362623691558838,0.990519106388092,0.17631617188453674
24,0.9633626341819763,0.9918155670166016,0.09964112937450409,0.8650990128517151,0.8873748183250427,0.9187403321266174
