epoch,accuracy,auc,loss,mean_absolute_error,mean_squared_error,val_accuracy,val_auc,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.7182285785675049,0.7663206458091736,0.06213368475437164,0.17615926265716553,0.06213368475437164,0.8036653399467468,0.8228269815444946,0.04203707352280617,0.13664957880973816,0.04203707352280617
1,0.8088343143463135,0.8298819661140442,0.041654884815216064,0.13829421997070312,0.041654884815216064,0.8353979587554932,0.8199132680892944,0.034285154193639755,0.1174413338303566,0.034285154193639755
2,0.8574175834655762,0.8381363153457642,0.03302023187279701,0.11943251639604568,0.03302023187279701,0.8693364858627319,0.8265607357025146,0.029755979776382446,0.10916820913553238,0.029755979776382446
3,0.8824726939201355,0.8367735743522644,0.02753792516887188,0.10643862932920456,0.02753792516887188,0.900899350643158,0.8504675030708313,0.02280353382229805,0.09559592604637146,0.02280353382229805
4,0.8955375552177429,0.8352855443954468,0.02441071905195713,0.0992036834359169,0.02441071905195713,0.9078567624092102,0.8240692615509033,0.021175861358642578,0.08980155736207962,0.021175861358642578
5,0.9011368155479431,0.836437463760376,0.023033929988741875,0.0949687585234642,0.023033929988741875,0.9129475355148315,0.8198742866516113,0.01998952031135559,0.0861959159374237,0.01998952031135559
6,0.9037384986877441,0.8391749858856201,0.022139817476272583,0.09267979115247726,0.022139817476272583,0.9136263132095337,0.7957457900047302,0.019851665943861008,0.08749091625213623,0.019851665943861008
7,0.9093942642211914,0.8397344350814819,0.020721931010484695,0.08870533108711243,0.020721931010484695,0.9278805255889893,0.8345005512237549,0.017458856105804443,0.08269599080085754,0.017458856105804443
8,0.9135230183601379,0.8438183665275574,0.020022504031658173,0.08657272160053253,0.020022504031658173,0.9282199144363403,0.8257718682289124,0.01703968457877636,0.08007261157035828,0.01703968457877636
9,0.9164639711380005,0.8428439497947693,0.019301913678646088,0.0845184177160263,0.019301913678646088,0.9297471642494202,0.8243581652641296,0.016412872821092606,0.07769393175840378,0.016412872821092606
10,0.9195181131362915,0.8463530540466309,0.018482131883502007,0.08240467309951782,0.018482131883502007,0.9300865530967712,0.8365697264671326,0.01686420850455761,0.0804675966501236,0.01686420850455761
11,0.9209886193275452,0.8463907837867737,0.018173186108469963,0.08144687861204147,0.018173186108469963,0.9326319098472595,0.8273521661758423,0.01607625000178814,0.07872938364744186,0.01607625000178814
12,0.9238730669021606,0.8452407121658325,0.017676522955298424,0.08056269586086273,0.017676522955298424,0.9319531917572021,0.8209385871887207,0.016677143052220345,0.08015292882919312,0.016677143052220345
13,0.9251739382743835,0.8493976593017578,0.017391083762049675,0.07934672385454178,0.017391083762049675,0.9387408494949341,0.8439768552780151,0.015387831255793571,0.0770503580570221,0.015387831255793571
14,0.9264181852340698,0.8500497341156006,0.01705252379179001,0.07847307622432709,0.01705252379179001,0.9255048632621765,0.8547306060791016,0.017374077811837196,0.08020930737257004,0.017374077811837196
15,0.9298116564750671,0.8499199748039246,0.016486946493387222,0.07693982869386673,0.016486946493387222,0.9246563911437988,0.8368651866912842,0.01644064113497734,0.07608897984027863,0.01644064113497734
16,0.9288501739501953,0.8508807420730591,0.016391362994909286,0.07641974836587906,0.016391362994909286,0.9384015202522278,0.8335965871810913,0.014749212190508842,0.07391652464866638,0.014749212190508842
17,0.9316214919090271,0.8502666354179382,0.016238300129771233,0.07583670318126678,0.016238300129771233,0.9329712986946106,0.8378874063491821,0.015336662530899048,0.07451671361923218,0.015336662530899048
18,0.9291329383850098,0.8498556613922119,0.01607234962284565,0.07564208656549454,0.01607234962284565,0.9397590160369873,0.8359496593475342,0.014871257357299328,0.0730065107345581,0.014871257357299328
19,0.9310559630393982,0.8525132536888123,0.015980741009116173,0.0752146914601326,0.015980741009116173,0.9365348815917969,0.8546363115310669,0.014612231403589249,0.07199099659919739,0.014612231403589249
20,0.9349584579467773,0.8535322546958923,0.015281572006642818,0.07312922924757004,0.015281572006642818,0.9331409931182861,0.834916353225708,0.015242869965732098,0.07300963997840881,0.015242869965732098
21,0.9336575865745544,0.8543895483016968,0.015324696898460388,0.07333853095769882,0.015324696898460388,0.9367045760154724,0.8215774297714233,0.014726763591170311,0.07221852242946625,0.014726763591170311
22,0.9370510578155518,0.8539594411849976,0.01509541179984808,0.07273802161216736,0.01509541179984808,0.9399287104606628,0.8347845673561096,0.01444418728351593,0.07117440551519394,0.01444418728351593
23,0.9334313869476318,0.8545410633087158,0.015225030481815338,0.07283098250627518,0.015225030481815338,0.9263532757759094,0.8465898633003235,0.01604730263352394,0.07291889190673828,0.01604730263352394
24,0.9358633756637573,0.8549485206604004,0.014903396368026733,0.07190530002117157,0.014903396368026733,0.9370439648628235,0.8329798579216003,0.01456529088318348,0.07249973714351654,0.01456529088318348
