epoch,accuracy,auc,loss,mean_absolute_error,mean_squared_error,val_accuracy,val_auc,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.8482077121734619,0.9133129119873047,0.3632796108722687,0.23235642910003662,0.11142099648714066,0.9018416404724121,0.963135302066803,0.25988253951072693,0.17114461958408356,0.07572028785943985
1,0.9056591987609863,0.9587076902389526,0.24550583958625793,0.14626121520996094,0.07120958715677261,0.9130755066871643,0.9735906720161438,0.2274566888809204,0.13484764099121094,0.06678096950054169
2,0.918057918548584,0.9688796997070312,0.2127186805009842,0.12550273537635803,0.061503175646066666,0.9211786389350891,0.9804823994636536,0.20056964457035065,0.12002258747816086,0.05889282748103142
3,0.9249938726425171,0.9740473628044128,0.1941867172718048,0.11351846903562546,0.055614471435546875,0.9410681128501892,0.9852325916290283,0.1562248170375824,0.089962899684906,0.04513521119952202
4,0.9345077276229858,0.9787708520889282,0.17260485887527466,0.101030133664608,0.04943865165114403,0.9458563327789307,0.987302839756012,0.14128084480762482,0.08425065875053406,0.04032204672694206
5,0.9403387904167175,0.9826899766921997,0.1569288969039917,0.09146954119205475,0.044850658625364304,0.9453038573265076,0.989048957824707,0.1407688558101654,0.08195913583040237,0.041254233568906784
6,0.9447581768035889,0.9843634963035583,0.147007554769516,0.08414202183485031,0.04151347652077675,0.9488029479980469,0.9899986982345581,0.13214901089668274,0.0798078179359436,0.03865911439061165
7,0.9500982165336609,0.9864400029182434,0.13705000281333923,0.07860803604125977,0.038968637585639954,0.9567219018936157,0.9907935261726379,0.1199914887547493,0.0752483457326889,0.034007590264081955
8,0.9523692727088928,0.9887080192565918,0.12591783702373505,0.07264874875545502,0.035874027758836746,0.9576427340507507,0.9925568699836731,0.10640201717615128,0.06057975813746452,0.03118889406323433
9,0.9536582231521606,0.9893380999565125,0.12286671251058578,0.07042163610458374,0.03487490490078926,0.960405170917511,0.9925118684768677,0.10204505920410156,0.06103423982858658,0.029360245913267136
10,0.9533513188362122,0.9890868663787842,0.12312664836645126,0.07031125575304031,0.03510342165827751,0.958563506603241,0.9931816458702087,0.10592734813690186,0.06045810878276825,0.0308974739164114
11,0.9573410153388977,0.9903261661529541,0.11520632356405258,0.0660577341914177,0.03268755227327347,0.9672191739082336,0.9944786429405212,0.08951913565397263,0.051723662763834,0.02520100586116314
12,0.9577707052230835,0.9914152026176453,0.10900016874074936,0.06160172075033188,0.031219907104969025,0.9589318633079529,0.9923876523971558,0.107778400182724,0.06589110940694809,0.031094297766685486
13,0.9596120715141296,0.9918098449707031,0.10623746365308762,0.060757435858249664,0.030224217101931572,0.9543278217315674,0.9938417077064514,0.11867521703243256,0.06706102192401886,0.03483735769987106
14,0.9609624147415161,0.9914757013320923,0.10687834769487381,0.06001157686114311,0.029915757477283478,0.9598526954650879,0.993854820728302,0.10911758244037628,0.05863291770219803,0.03087243065237999
15,0.9623741507530212,0.9921163320541382,0.10398971289396286,0.05868601053953171,0.02915762923657894,0.9657458662986755,0.9939309358596802,0.09495823830366135,0.05664961785078049,0.02662528306245804
16,0.9623741507530212,0.9931278228759766,0.09753917157649994,0.055511798709630966,0.02815040573477745,0.970534086227417,0.9940634965896606,0.08626845479011536,0.043017420917749405,0.023530136793851852
17,0.9647679924964905,0.9930047988891602,0.09749997407197952,0.05495857447385788,0.027370627969503403,0.9609576463699341,0.994179368019104,0.10554400086402893,0.05622975155711174,0.02963322028517723
18,0.965074896812439,0.9931862354278564,0.09557556360960007,0.05394598841667175,0.0268716923892498,0.9662983417510986,0.9940701127052307,0.09010663628578186,0.0463988296687603,0.025037497282028198
19,0.9639700651168823,0.9933595061302185,0.09542518854141235,0.05360652878880501,0.02707604318857193,0.9720073938369751,0.9945100545883179,0.08285115659236908,0.0421779602766037,0.022730199620127678
20,0.964890718460083,0.9934513568878174,0.09240281581878662,0.05252668634057045,0.026261121034622192,0.96114182472229,0.9943177700042725,0.09982363879680634,0.05153346434235573,0.02858714386820793
21,0.9651362895965576,0.9933971166610718,0.09317893534898758,0.051798831671476364,0.02602706104516983,0.9598526954650879,0.9937305450439453,0.1085357740521431,0.05252305790781975,0.03041663207113743
22,0.9640313982963562,0.9936369061470032,0.09349765628576279,0.05277019366621971,0.026763416826725006,0.9709023833274841,0.994732141494751,0.0833154171705246,0.04963986575603485,0.02286606840789318
23,0.9647679924964905,0.9936715364456177,0.09328372031450272,0.05290861800312996,0.026734042912721634,0.969613254070282,0.9943791031837463,0.08180718868970871,0.04466162621974945,0.022825051099061966
24,0.9660569429397583,0.994120717048645,0.08986843377351761,0.051164329051971436,0.025541886687278748,0.9736648201942444,0.9952671527862549,0.07733528316020966,0.04168438911437988,0.0214235857129097
