epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8265053629875183,0.8827627301216125,0.5053167343139648,0.8813943862915039,0.952980637550354,0.2943902611732483
1,0.9113280177116394,0.9624242186546326,0.22987662255764008,0.8943894505500793,0.9695407152175903,0.2598937749862671
2,0.9320868849754333,0.9768872857093811,0.1778450459241867,0.9098597168922424,0.9755231142044067,0.23062071204185486
3,0.9476904273033142,0.9848935008049011,0.14136219024658203,0.923473596572876,0.9790143966674805,0.1977737694978714
4,0.956145167350769,0.9889007210731506,0.12032854557037354,0.9412128925323486,0.9804098010063171,0.16116055846214294
5,0.9608193635940552,0.9920455813407898,0.1030140295624733,0.9292491674423218,0.9736558794975281,0.2266155332326889
6,0.9668682813644409,0.9936240315437317,0.08938202261924744,0.9447194933891296,0.9795346260070801,0.17151838541030884
7,0.9757354855537415,0.9961723685264587,0.06811673939228058,0.9255362749099731,0.9763955473899841,0.24581320583820343
8,0.9794473648071289,0.9974504113197327,0.055889274924993515,0.9383251070976257,0.9729244709014893,0.22876830399036407
9,0.9793098568916321,0.9975782036781311,0.055820614099502563,0.9348185062408447,0.9689399600028992,0.24215516448020935
10,0.9753918051719666,0.9969266057014465,0.06304871290922165,0.9434818625450134,0.973324716091156,0.201251819729805
11,0.9798597693443298,0.9974640011787415,0.05608202889561653,0.9368811845779419,0.9748751521110535,0.2322201430797577
12,0.9826780557632446,0.9982069730758667,0.045736219733953476,0.9422442317008972,0.9715028405189514,0.2286912202835083
13,0.9919576644897461,0.9995840191841125,0.022809308022260666,0.9416254162788391,0.96723473072052,0.2713714838027954
14,0.9951196312904358,0.999758243560791,0.01501743495464325,0.9453383088111877,0.9632842540740967,0.3049878776073456
15,0.9931949377059937,0.9996858239173889,0.01752312295138836,0.9430692791938782,0.9664504528045654,0.30072781443595886
16,0.9907203912734985,0.999070405960083,0.026863746345043182,0.9393564462661743,0.9678688049316406,0.2733905613422394
17,0.9892768859863281,0.9989563226699829,0.02846940979361534,0.9249175190925598,0.9669468402862549,0.37549084424972534
18,0.9933324456214905,0.9992616176605225,0.019533466547727585,0.9436880946159363,0.9657087922096252,0.31198638677597046
19,0.9913390278816223,0.9988853335380554,0.026139739900827408,0.9298679828643799,0.9625308513641357,0.3600395917892456
20,0.9919576644897461,0.9996138215065002,0.020558519288897514,0.9438943862915039,0.9653555154800415,0.31947416067123413
21,0.992163896560669,0.9993358254432678,0.020736198872327805,0.9381188154220581,0.9597684144973755,0.3448350727558136
22,0.994569718837738,0.9997318983078003,0.015778420493006706,0.9397689700126648,0.9594811797142029,0.3488144874572754
23,0.9959444403648376,0.9997143149375916,0.011487789452075958,0.9385313391685486,0.9649159908294678,0.3363901376724243
24,0.9960132241249084,0.9997026920318604,0.011778946965932846,0.9424505233764648,0.9585270285606384,0.43053075671195984
