,Metric,Score
0,MSE,0.010698912918657268
1,MAE,0.06302222133437506
2,R2,0.6655782915107883
3,Training Time (s),4069.0
4,Accuracy,0.7709111580315089
5,F1_Score,0.7710900664052657
