epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8600494861602783,0.9146546125411987,0.34570416808128357,0.9119224548339844,0.9652150273323059,0.2329380065202713
1,0.912565290927887,0.9612402319908142,0.2300383597612381,0.9341996908187866,0.9758086204528809,0.18451298773288727
2,0.9242507815361023,0.9691983461380005,0.2048104703426361,0.9331682920455933,0.9789304137229919,0.18172414600849152
3,0.9327742457389832,0.9743924140930176,0.18413393199443817,0.9467821717262268,0.984014093875885,0.14406736195087433
4,0.935248851776123,0.9791370630264282,0.16713207960128784,0.9502887725830078,0.9866243600845337,0.1365240067243576
5,0.9437723159790039,0.9828534722328186,0.15049836039543152,0.9529703259468079,0.9894742369651794,0.1230785921216011
6,0.9449408650398254,0.9840158820152283,0.14498105645179749,0.9399752616882324,0.9891926646232605,0.15338483452796936
7,0.9493401050567627,0.9865171909332275,0.1328217089176178,0.9587458968162537,0.9888180494308472,0.11296596378087997
8,0.9529144763946533,0.988072395324707,0.12454567104578018,0.9616336822509766,0.9909963011741638,0.10151462256908417
9,0.9562138915061951,0.9892683029174805,0.11789839714765549,0.9645214676856995,0.991237461566925,0.10063892602920532
10,0.9577949047088623,0.9895442724227905,0.11573242396116257,0.9680280685424805,0.992859423160553,0.08836732804775238
11,0.9598570466041565,0.9908371567726135,0.10824913531541824,0.9667904376983643,0.992577314376831,0.09120665490627289
12,0.9589634537696838,0.9901966452598572,0.1119525134563446,0.9667904376983643,0.9937389492988586,0.0881279706954956
13,0.9636375904083252,0.992289662361145,0.09911064058542252,0.9713283777236938,0.993353009223938,0.08391587436199188
14,0.9620566368103027,0.9917119145393372,0.10088840126991272,0.9663779139518738,0.9946798086166382,0.08519221842288971
15,0.9633626341819763,0.9925195574760437,0.09867683798074722,0.9713283777236938,0.9924344420433044,0.0834772065281868
16,0.9650123715400696,0.9928330183029175,0.09459791332483292,0.9674092531204224,0.9934635758399963,0.08744930475950241
17,0.9659746885299683,0.9932363629341125,0.09273563325405121,0.969059407711029,0.9951333403587341,0.07917718589305878
18,0.9657685160636902,0.9928829669952393,0.091869056224823,0.9661716222763062,0.9939271211624146,0.08757434785366058
19,0.9658372402191162,0.9938252568244934,0.09083519130945206,0.971947193145752,0.9949831366539001,0.07804978638887405
20,0.966387152671814,0.9935896396636963,0.09070021659135818,0.9727723002433777,0.9947671890258789,0.07489912211894989
21,0.9667308330535889,0.9932931065559387,0.09236514568328857,0.9740098714828491,0.9952216744422913,0.07195204496383667
22,0.9674181938171387,0.9936225414276123,0.08800984174013138,0.9733911156654358,0.9952154159545898,0.07382287085056305
23,0.9670057892799377,0.9937368035316467,0.08870932459831238,0.9735973477363586,0.9960610270500183,0.07083533704280853
24,0.9672119617462158,0.993703305721283,0.08655849099159241,0.9768977165222168,0.9952699542045593,0.06623078882694244
