epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8152323365211487,0.874545156955719,0.42002615332603455,0.8968647122383118,0.9450969099998474,0.27474844455718994
1,0.8883007764816284,0.9363728165626526,0.3040922284126282,0.9146039485931396,0.9586983323097229,0.2377290427684784
2,0.9015672206878662,0.9502007961273193,0.2672825753688812,0.9187293648719788,0.9681389927864075,0.21474862098693848
3,0.9131152033805847,0.9617997407913208,0.2311016321182251,0.9370874762535095,0.9741272926330566,0.18560388684272766
4,0.9258317351341248,0.9684876203536987,0.20445792376995087,0.9474009871482849,0.9808803796768188,0.1551549732685089
5,0.9355238080024719,0.9750329852104187,0.18233643472194672,0.9432755708694458,0.9840647578239441,0.15909211337566376
6,0.93572998046875,0.977654755115509,0.17161904275417328,0.951526403427124,0.9858920574188232,0.1348605901002884
7,0.9402667284011841,0.9803324937820435,0.1609288454055786,0.9494637250900269,0.9865650534629822,0.13961577415466309
8,0.9432224631309509,0.9822456240653992,0.15083590149879456,0.9476072788238525,0.9853006601333618,0.1464594155550003
9,0.946040689945221,0.9835383296012878,0.14655376970767975,0.9494637250900269,0.9878230690956116,0.1375940591096878
10,0.9489277005195618,0.9856869578361511,0.13658137619495392,0.9601897597312927,0.9895531535148621,0.11128392070531845
11,0.9524333477020264,0.9867419004440308,0.12969429790973663,0.9562706351280212,0.9897829294204712,0.1162814125418663
12,0.9522271156311035,0.98697429895401,0.12826313078403473,0.9601897597312927,0.9910526871681213,0.1085822731256485
13,0.9547703862190247,0.9879544973373413,0.12357216328382492,0.9630775451660156,0.9899184107780457,0.10585963726043701
14,0.9551141262054443,0.9872099757194519,0.12588688731193542,0.9560643434524536,0.9901604652404785,0.11881387233734131
15,0.9527083039283752,0.9881636500358582,0.12438814342021942,0.9639026522636414,0.9903790354728699,0.10315670073032379
16,0.9569013118743896,0.9894374012947083,0.1150362640619278,0.9601897597312927,0.9908087849617004,0.10766541212797165
17,0.9576573967933655,0.9893137812614441,0.11535793542861938,0.9628713130950928,0.9913293719291687,0.10207526385784149
18,0.9599257707595825,0.9899355173110962,0.11028528213500977,0.9622524976730347,0.9912426471710205,0.10226946324110031
19,0.9569700360298157,0.9897132515907288,0.11401015520095825,0.9649339914321899,0.9916874170303345,0.10275926440954208
20,0.9593071341514587,0.9906545281410217,0.10932860523462296,0.9624587297439575,0.9914022088050842,0.10012323409318924
21,0.9591696262359619,0.9906018376350403,0.1102847009897232,0.9639026522636414,0.9918448328971863,0.09820127487182617
22,0.9601320028305054,0.9906312823295593,0.10878133773803711,0.9639026522636414,0.9927603602409363,0.09587927907705307
23,0.9604756832122803,0.9910243153572083,0.10741491615772247,0.9659653306007385,0.9927895069122314,0.09692522138357162
24,0.9597195386886597,0.9909690022468567,0.10594646632671356,0.9672029614448547,0.9940308332443237,0.0861716940999031
