epoch,accuracy,auc,loss,mean_absolute_error,mean_squared_error,val_accuracy,val_auc,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.6222119927406311,0.8128629922866821,0.02591310814023018,0.10535091906785965,0.02591310814023018,0.6836933493614197,0.8546648025512695,0.018260149285197258,0.08549961447715759,0.018260149285197258
1,0.7110762000083923,0.8665117621421814,0.016788512468338013,0.08076468855142593,0.016788512468338013,0.7391586899757385,0.8509573936462402,0.013995733112096786,0.07438734918832779,0.013995733112096786
2,0.7314043045043945,0.8736319541931152,0.014719920232892036,0.07486868649721146,0.014719920232892036,0.7520707845687866,0.8782830834388733,0.012911570258438587,0.07180913537740707,0.012911570258438587
3,0.7406615614891052,0.8766793012619019,0.013624122366309166,0.07174712419509888,0.013624122366309166,0.7575117945671082,0.8683414459228516,0.012554901652038097,0.07126519083976746,0.012554901652038097
4,0.748430073261261,0.8791907429695129,0.012928913347423077,0.06968417018651962,0.012928913347423077,0.7562124133110046,0.8906306028366089,0.012146119959652424,0.06923708319664001,0.012146119959652424
5,0.7541143298149109,0.8799530267715454,0.012468941509723663,0.06833519786596298,0.012468941509723663,0.766688346862793,0.8780919909477234,0.011514086276292801,0.06662110239267349,0.011514086276292801
6,0.7568752765655518,0.880195140838623,0.012280939146876335,0.06776994466781616,0.012280939146876335,0.7683125138282776,0.8620563745498657,0.011905064806342125,0.06688009947538376,0.011905064806342125
7,0.7627490162849426,0.8813421726226807,0.012016883119940758,0.06711652874946594,0.012016883119940758,0.7624654769897461,0.878653347492218,0.011641725897789001,0.06639464199542999,0.011641725897789001
8,0.7612332105636597,0.8824678659439087,0.011778827756643295,0.0664319321513176,0.011778827756643295,0.7735910415649414,0.8680385947227478,0.0112238097935915,0.06506359577178955,0.0112238097935915
9,0.7644543051719666,0.8821958303451538,0.01157490536570549,0.06576111912727356,0.01157490536570549,0.7643333077430725,0.8782815933227539,0.011797082610428333,0.06664855033159256,0.011797082610428333
10,0.7649685740470886,0.8827589750289917,0.011570469476282597,0.06574635207653046,0.011570469476282597,0.7656326293945312,0.8817485570907593,0.011357996612787247,0.06620164960622787,0.011357996612787247
11,0.7634798884391785,0.8837637901306152,0.011440597474575043,0.06528431922197342,0.011440597474575043,0.7728601694107056,0.876577615737915,0.010791614651679993,0.06342301517724991,0.010791614651679993
12,0.7656723856925964,0.8842294216156006,0.011339271441102028,0.0650215819478035,0.011339271441102028,0.7737534642219543,0.8808229565620422,0.010888761840760708,0.06474487483501434,0.010888761840760708
13,0.7688664197921753,0.8847271203994751,0.011113272048532963,0.0644010454416275,0.011113272048532963,0.770667552947998,0.8738094568252563,0.010957440361380577,0.0636204332113266,0.010957440361380577
14,0.7713837027549744,0.8848593235015869,0.010971424169838428,0.06394457817077637,0.010971424169838428,0.7670131325721741,0.8833473920822144,0.01109262928366661,0.06464217603206635,0.01109262928366661
15,0.7723581790924072,0.8842852115631104,0.01093960553407669,0.06384490430355072,0.01093960553407669,0.7781386971473694,0.8806324601173401,0.01057482697069645,0.06285291165113449,0.01057482697069645
16,0.7716543674468994,0.8845406174659729,0.010906865820288658,0.06369901448488235,0.010906865820288658,0.7692869901657104,0.8815939426422119,0.011105426587164402,0.06442426890134811,0.011105426587164402
17,0.7735491394996643,0.8855105638504028,0.010784142650663853,0.06326989829540253,0.010784142650663853,0.770829975605011,0.8890833854675293,0.010946695692837238,0.06424194574356079,0.010946695692837238
18,0.7721686959266663,0.8852846622467041,0.010755632072687149,0.06330195814371109,0.010755632072687149,0.7709923386573792,0.8766489028930664,0.011390660889446735,0.06425434350967407,0.011390660889446735
19,0.7741717100143433,0.8853355050086975,0.010650965385138988,0.06299449503421783,0.010650965385138988,0.7765145301818848,0.8831053972244263,0.010587590746581554,0.061762839555740356,0.010587590746581554
20,0.7730078101158142,0.8859233856201172,0.010594625025987625,0.06272576749324799,0.010594625025987625,0.7745655179023743,0.890083372592926,0.010532820597290993,0.06299921125173569,0.010532820597290993
21,0.7759853005409241,0.8863966464996338,0.010627960786223412,0.06280744075775146,0.010627960786223412,0.770667552947998,0.872992217540741,0.010995187796652317,0.06380408257246017,0.010995187796652317
22,0.777961254119873,0.8859431743621826,0.010512446984648705,0.062463678419589996,0.010512446984648705,0.7744843363761902,0.877517580986023,0.010564792901277542,0.0625232383608818,0.010564792901277542
23,0.7766619920730591,0.8877111077308655,0.010528533719480038,0.06236354261636734,0.010528533719480038,0.7736722230911255,0.894934892654419,0.010517970658838749,0.06247936561703682,0.010517970658838749
24,0.7778800129890442,0.8869425058364868,0.01038132980465889,0.062047239392995834,0.01038132980465889,0.7744030952453613,0.8957745432853699,0.010946711525321007,0.06304804235696793,0.010946711525321007
