epoch,accuracy,auc,loss,mean_absolute_error,mean_squared_error,val_accuracy,val_auc,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.8128529191017151,0.8798239827156067,0.432023286819458,0.2815784513950348,0.13564085960388184,0.8813996315002441,0.9441311955451965,0.29549068212509155,0.18019869923591614,0.08759218454360962
1,0.8766879439353943,0.9342857599258423,0.31920331716537476,0.19634270668029785,0.09397166222333908,0.8983425498008728,0.9572483897209167,0.2607688009738922,0.1527240127325058,0.07618851214647293
2,0.8925853371620178,0.9507762789726257,0.2750791609287262,0.1687415987253189,0.08033096045255661,0.9130755066871643,0.9722069501876831,0.2242613285779953,0.15032677352428436,0.06454955786466599
3,0.9103240966796875,0.9621964693069458,0.23923258483409882,0.1446559727191925,0.06863193213939667,0.9309391975402832,0.9783154726028442,0.18935661017894745,0.12342502176761627,0.05359843745827675
4,0.9221090078353882,0.970402181148529,0.20777761936187744,0.12437057495117188,0.05906856805086136,0.9434622526168823,0.9824838042259216,0.16196873784065247,0.10508833080530167,0.04446697235107422
5,0.9281856417655945,0.9747036695480347,0.19184675812721252,0.11389241367578506,0.05477588623762131,0.9318600296974182,0.9832905530929565,0.17738214135169983,0.10829220712184906,0.05140889063477516
6,0.9334642887115479,0.9778517484664917,0.1787075251340866,0.1048974096775055,0.05075592175126076,0.9453038573265076,0.9855595827102661,0.15070690214633942,0.09979259222745895,0.04215637221932411
7,0.9367787837982178,0.9808313250541687,0.16622911393642426,0.09711320698261261,0.047219883650541306,0.939963161945343,0.9873068332672119,0.15715043246746063,0.10187800228595734,0.04500439763069153
8,0.9392339587211609,0.9825736284255981,0.15752209722995758,0.09228029102087021,0.04513203725218773,0.9539594650268555,0.9896273016929626,0.12502138316631317,0.0822984129190445,0.0343802236020565
9,0.9424257278442383,0.9840660691261292,0.15123668313026428,0.08824652433395386,0.0430389866232872,0.9565377235412598,0.9895445704460144,0.11920095235109329,0.07253249734640121,0.03287166729569435
10,0.9440829753875732,0.9843904376029968,0.14986421167850494,0.08660337328910828,0.042719755321741104,0.9454880356788635,0.9892998933792114,0.14692001044750214,0.0969642698764801,0.04170747101306915
11,0.9445739984512329,0.9852504134178162,0.14447669684886932,0.08405889570713043,0.04109743982553482,0.9539594650268555,0.9892553687095642,0.1267051100730896,0.08063877373933792,0.03556226193904877
12,0.9493616223335266,0.98642897605896,0.1373502016067505,0.0788605734705925,0.03897013142704964,0.9469613432884216,0.9880242943763733,0.13739685714244843,0.08627317100763321,0.03920916095376015
13,0.9533513188362122,0.9876067042350769,0.13094191253185272,0.07542455196380615,0.03661762550473213,0.9432780742645264,0.990098237991333,0.1479729861021042,0.08776705712080002,0.04320742189884186
14,0.9504051208496094,0.9866539835929871,0.1366012841463089,0.07725852727890015,0.03847045078873634,0.9215469360351562,0.9811313152313232,0.2112867534160614,0.14075322449207306,0.06059098243713379
15,0.9518168568611145,0.9878264665603638,0.12908078730106354,0.07420970499515533,0.03643064945936203,0.9567219018936157,0.9900033473968506,0.12193533778190613,0.0679316595196724,0.03448428586125374
16,0.9542720317840576,0.9894658923149109,0.12137988209724426,0.06920225918292999,0.03427508473396301,0.9563536047935486,0.9891330599784851,0.11986765265464783,0.06881460547447205,0.033291082829236984
17,0.9523692727088928,0.9886536002159119,0.12689435482025146,0.07206669449806213,0.036238741129636765,0.9626150727272034,0.9913483262062073,0.10609886050224304,0.061675217002630234,0.029261423274874687
18,0.9548858404159546,0.9890397787094116,0.12244422733783722,0.06931821256875992,0.034516070038080215,0.9517495632171631,0.9905202984809875,0.12951460480690002,0.07928556948900223,0.03689469397068024
19,0.9527375102043152,0.988872230052948,0.12482912838459015,0.0715833231806755,0.03560888394713402,0.959484338760376,0.9907273054122925,0.11229556798934937,0.06581754982471466,0.031611669808626175
20,0.957279622554779,0.9897847771644592,0.11902885884046555,0.0672312080860138,0.03334231674671173,0.9563536047935486,0.9910106062889099,0.12345188856124878,0.06708312034606934,0.03487228974699974
21,0.956849992275238,0.9898672699928284,0.11863145977258682,0.06699343025684357,0.033431489020586014,0.960220992565155,0.9923283457756042,0.11084350943565369,0.06262915581464767,0.031217996031045914
22,0.9545175433158875,0.9896589517593384,0.12052420526742935,0.06861814856529236,0.03426719084382057,0.95930016040802,0.9914373755455017,0.10601288825273514,0.06337586790323257,0.029602574184536934
23,0.9559906721115112,0.9898439049720764,0.11899955570697784,0.06688032299280167,0.033597350120544434,0.9554327726364136,0.9902564883232117,0.11795275658369064,0.06554937362670898,0.03319409489631653
24,0.9562361836433411,0.9909356236457825,0.11410551518201828,0.06538679450750351,0.032583802938461304,0.9587476849555969,0.9923759698867798,0.10661138594150543,0.06477610766887665,0.030221369117498398
