,Metric,Score
0,MSE,0.017256615423297754
1,MAE,0.08379503225245716
2,R2,0.7795666959307628
3,Training Time (s),4456.0
4,Accuracy,0.8323901150726278
5,F1_Score,0.8337236806709705
