epoch,accuracy,auc,loss,mean_absolute_error,mean_squared_error,val_accuracy,val_auc,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.6913070678710938,0.7315162420272827,0.07259956747293472,0.19061700999736786,0.07259956747293472,0.7914474606513977,0.8415786027908325,0.04202848672866821,0.13760261237621307,0.04202848672866821
1,0.7929981350898743,0.7991105318069458,0.04782833904027939,0.1496063470840454,0.04782833904027939,0.8214831352233887,0.8592904806137085,0.03501889109611511,0.11953059583902359,0.03501889109611511
2,0.8310050368309021,0.8141456246376038,0.039890240877866745,0.13349243998527527,0.039890240877866745,0.8627184629440308,0.8547191619873047,0.028497369959950447,0.10325643420219421,0.028497369959950447
3,0.8621684312820435,0.816515326499939,0.03394347429275513,0.12052854150533676,0.03394347429275513,0.8729000687599182,0.856532871723175,0.028155656531453133,0.10159003734588623,0.028155656531453133
4,0.8781743049621582,0.814761221408844,0.030306417495012283,0.1118813157081604,0.030306417495012283,0.911250650882721,0.8622661828994751,0.019595151767134666,0.08503884077072144,0.019595151767134666
5,0.8878456950187683,0.815798819065094,0.027955513447523117,0.10609684139490128,0.027955513447523117,0.9166808128356934,0.8666954040527344,0.018997980281710625,0.08336370438337326,0.018997980281710625
6,0.8970080614089966,0.8179206848144531,0.02605445310473442,0.10180269181728363,0.02605445310473442,0.9232988357543945,0.8601824045181274,0.016772959381341934,0.07606085389852524,0.016772959381341934
7,0.9033425450325012,0.8170735836029053,0.024643123149871826,0.09837060421705246,0.024643123149871826,0.9272017478942871,0.8663049936294556,0.016008947044610977,0.0729355663061142,0.016008947044610977
8,0.9076409935951233,0.8183969259262085,0.023823652416467667,0.09617234766483307,0.023823652416467667,0.9251654744148254,0.8741518259048462,0.016023989766836166,0.07219389081001282,0.016023989766836166
9,0.9081500172615051,0.8220219612121582,0.023098891600966454,0.09445538371801376,0.023098891600966454,0.9304259419441223,0.865545928478241,0.015392047353088856,0.0717809721827507,0.015392047353088856
10,0.9079237580299377,0.8203737735748291,0.022929377853870392,0.09415413439273834,0.022929377853870392,0.8995418548583984,0.8566321730613708,0.020975852385163307,0.08003771305084229,0.020975852385163307
11,0.9101295471191406,0.8221823573112488,0.02236579731106758,0.09254082292318344,0.02236579731106758,0.8978449106216431,0.8489512205123901,0.022109102457761765,0.08028098940849304,0.022109102457761765
12,0.912674605846405,0.8207362294197083,0.02208928018808365,0.09182169288396835,0.02208928018808365,0.9195655584335327,0.8653828501701355,0.017539558932185173,0.07425108551979065,0.017539558932185173
13,0.9144279360771179,0.8208277821540833,0.021284423768520355,0.0898287445306778,0.021284423768520355,0.9246563911437988,0.8465920686721802,0.01660124771296978,0.07001838833093643,0.01660124771296978
14,0.9160115122795105,0.8203151226043701,0.02097349613904953,0.08916287869215012,0.02097349613904953,0.9176989793777466,0.8653512001037598,0.01752273179590702,0.07534386962652206,0.01752273179590702
15,0.9205361604690552,0.8186936974525452,0.020558232441544533,0.08815141767263412,0.020558232441544533,0.9263532757759094,0.8695038557052612,0.01586412638425827,0.07048911601305008,0.01586412638425827
16,0.9176517128944397,0.8225014209747314,0.02069585770368576,0.08838044106960297,0.02069585770368576,0.9173595905303955,0.851482093334198,0.018035084009170532,0.0722748339176178,0.018035084009170532
17,0.917086124420166,0.8220341205596924,0.020490163937211037,0.08759398758411407,0.020490163937211037,0.9273714423179626,0.8758294582366943,0.015573170967400074,0.0711321011185646,0.015573170967400074
18,0.9204230308532715,0.8209975361824036,0.02028151974081993,0.08727887272834778,0.02028151974081993,0.9165111184120178,0.8669647574424744,0.017446467652916908,0.07430347055196762,0.017446467652916908
19,0.9200271368026733,0.8234477639198303,0.02001393958926201,0.08659051358699799,0.02001393958926201,0.9370439648628235,0.876989483833313,0.013777602463960648,0.06705721467733383,0.013777602463960648
20,0.9223459959030151,0.820152223110199,0.019360650330781937,0.08551400154829025,0.019360650330781937,0.9380621314048767,0.8722618818283081,0.013782283291220665,0.06528119742870331,0.013782283291220665
21,0.9238165020942688,0.8212217092514038,0.019485753029584885,0.08562106639146805,0.019485753029584885,0.9100627899169922,0.872046947479248,0.018107933923602104,0.0727623999118805,0.018107933923602104
22,0.9230812788009644,0.8221459984779358,0.01949654519557953,0.08532942831516266,0.01949654519557953,0.9338197708129883,0.8681710958480835,0.014317439869046211,0.06664374470710754,0.014317439869046211
23,0.9263050556182861,0.823164701461792,0.01901649683713913,0.08437976241111755,0.01901649683713913,0.9321228861808777,0.8612216114997864,0.01483740471303463,0.06837549060583115,0.01483740471303463
24,0.9269837737083435,0.824216365814209,0.018435800448060036,0.0829586386680603,0.018435800448060036,0.9263532757759094,0.8607900738716125,0.01614581234753132,0.06868904829025269,0.01614581234753132
