epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8311795592308044,0.8645114898681641,0.7452351450920105,0.8937706351280212,0.9577183723449707,0.27895331382751465
1,0.9135963916778564,0.9616591334342957,0.22612054646015167,0.9113036394119263,0.969903826713562,0.23336203396320343
2,0.9295435547828674,0.9747606515884399,0.18301239609718323,0.9321369528770447,0.9751266837120056,0.19138412177562714
3,0.9439098238945007,0.9828617572784424,0.14994989335536957,0.9432755708694458,0.9788140058517456,0.16072164475917816
4,0.950989842414856,0.9867916703224182,0.1312810331583023,0.9302805066108704,0.980431318283081,0.1780453473329544
5,0.9599944949150085,0.9904096126556396,0.10990244895219803,0.9368811845779419,0.9821775555610657,0.16988810896873474
6,0.9625378251075745,0.9918972253799438,0.10059483349323273,0.9341996908187866,0.984099268913269,0.18274562060832977
7,0.9689304232597351,0.9932636022567749,0.08965272456407547,0.9500824809074402,0.983521580696106,0.15277421474456787
8,0.9689991474151611,0.9939578771591187,0.08639247715473175,0.9537953734397888,0.9847885370254517,0.14716164767742157
9,0.9727797508239746,0.9949610233306885,0.07592296600341797,0.9232673048973083,0.9815778136253357,0.23136427998542786
10,0.9684492945671082,0.9946591258049011,0.08416488021612167,0.9189356565475464,0.9778152108192444,0.23056858777999878
11,0.9679681062698364,0.9945552945137024,0.08359010517597198,0.9449257254600525,0.9832425117492676,0.16730713844299316
12,0.9758042097091675,0.9967851638793945,0.06505771726369858,0.9476072788238525,0.983048141002655,0.1658816784620285
13,0.9825405478477478,0.9981428980827332,0.04763510450720787,0.9517326951026917,0.9788092374801636,0.19414706528186798
14,0.9848089218139648,0.9981213212013245,0.04209039360284805,0.9428630471229553,0.9778960943222046,0.22567245364189148
15,0.9815782308578491,0.997599720954895,0.05193217098712921,0.9504950642585754,0.9813857674598694,0.1860535442829132
16,0.9868022799491882,0.9988635182380676,0.036185797303915024,0.9537953734397888,0.9717206954956055,0.22306035459041595
17,0.9879708290100098,0.9990007877349854,0.03201291337609291,0.9535890817642212,0.9733662605285645,0.22127334773540497
18,0.9868022799491882,0.9988461136817932,0.03437511995434761,0.9432755708694458,0.9740129113197327,0.23469482362270355
19,0.9863211512565613,0.9989360570907593,0.035201504826545715,0.9412128925323486,0.962650716304779,0.29810023307800293
20,0.9859774708747864,0.9985904097557068,0.03827960044145584,0.9500824809074402,0.9739457368850708,0.2194775640964508
21,0.9903767108917236,0.9995955228805542,0.024142423644661903,0.9537953734397888,0.9728583097457886,0.21723438799381256
22,0.9915452003479004,0.999384343624115,0.023174576461315155,0.9548267126083374,0.9744341373443604,0.2195778787136078
23,0.9899642467498779,0.9993199706077576,0.027414187788963318,0.9540016651153564,0.9740570187568665,0.22160540521144867
24,0.992232620716095,0.999417245388031,0.021471595391631126,0.9513201117515564,0.9683722853660583,0.2641887664794922
